1.000 0.010
8 52  0.541499 -1.005669 
8 53  0.599053 -0.975395 
8 54  0.655641 -0.942557 
8 55  0.711263 -0.907106 
8 56  0.765912 -0.868977 
8 57  0.819581 -0.828092 
8 58  0.872252 -0.784353 
8 59  0.923903 -0.737647 
8 60  0.974506 -0.687837 
8 61  1.024024 -0.634764 
8 62  1.072411 -0.578240 
8 63  1.119609 -0.518044 
8 64  1.165550 -0.453915 
8 65  1.210150 -0.385545 
8 66  1.253305 -0.312569 
8 67  1.294891 -0.234551 
8 68  1.334753 -0.150962 
8 69  1.372701 -0.061163 
8 70  1.408497 0.035634 
8 71  1.441841 0.140414 
8 72  1.472349 0.254422 
8 73  1.499519 0.379268 
8 74  1.522682 0.517077 
8 75  1.540925 0.670732 
8 76  1.552954 0.844276 
8 77  1.556870 1.043616 
8 78  1.549729 1.277842 
8 79  1.526644 1.561950 
8 80  1.478705 1.923138 
8 81  1.387197 2.418224 
8 82  1.202474 3.197193 
8 83  0.708045 4.910731 
9 16  -5.450338 6.085715 
9 17  -3.496615 2.160223 
9 18  -2.932016 1.143387 
9 19  -2.594258 0.598315 
9 20  -2.346660 0.239552 
9 21  -2.146728 -0.021335 
9 22  -1.976106 -0.222413 
9 23  -1.825297 -0.383297 
9 24  -1.688788 -0.515331 
9 25  -1.563107 -0.625628 
9 26  -1.445930 -0.718925 
9 27  -1.335628 -0.798527 
9 28  -1.231017 -0.866822 
9 29  -1.131209 -0.925595 
9 30  -1.035519 -0.976204 
9 31  -0.943413 -1.019713 
9 32  -0.854460 -1.056962 
9 33  -0.768314 -1.088630 
9 34  -0.684687 -1.115268 
9 35  -0.603340 -1.137331 
9 36  -0.524075 -1.155196 
9 37  -0.446721 -1.169177 
9 38  -0.371133 -1.179541 
9 39  -0.297187 -1.186510 
9 40  -0.224774 -1.190272 
9 41  -0.153803 -1.190988 
9 42  -0.084192 -1.188791 
9 43  -0.015871 -1.183794 
9 44  0.051223 -1.176091 
9 45  0.117142 -1.165759 
9 46  0.181933 -1.152858 
9 47  0.245636 -1.137436 
9 48  0.308285 -1.119528 
9 49  0.369909 -1.099156 
9 50  0.430532 -1.076331 
9 51  0.490174 -1.051050 
9 52  0.548848 -1.023303 
9 53  0.606564 -0.993065 
9 54  0.663330 -0.960299 
9 55  0.719145 -0.924958 
9 56  0.774005 -0.886979 
9 57  0.827902 -0.846285 
9 58  0.880823 -0.802785 
9 59  0.932746 -0.756368 
9 60  0.983645 -0.706904 
9 61  1.033486 -0.654240 
9 62  1.082228 -0.598197 
9 63  1.129817 -0.538562 
9 64  1.176189 -0.475090 
9 65  1.221268 -0.407488 
9 66  1.264958 -0.335410 
9 67  1.307144 -0.258447 
9 68  1.347687 -0.176103 
9 69  1.386411 -0.087783 
9 70  1.423103 0.007245 
9 71  1.457492 0.109886 
9 72  1.489235 0.221278 
9 73  1.517887 0.342880 
9 74  1.542863 0.476592 
9 75  1.563373 0.624964 
9 76  1.578316 0.791511 
9 77  1.586110 0.981265 
9 78  1.584362 1.201773 
9 79  1.569241 1.465052 
9 80  1.534097 1.791854 
